product_name,product_code
Other,2103.90.90
Mayonnaise,2103.90.90.20
Other salad dressings,2103.90.90.40
In containers holding less than 1.4 kg,2103.90.90.51
Other,2103.90.90.59
Other,2103.90.90.91
Soups and broths and preparations therefor; homogenized composite food preparations:,2104
Soups and broths and preparations therefor,2104.10.00
Dried,2104.10.00.20
Based on fish or other seafood,2104.10.00.40
Other,2104.10.00.60
Homogenized composite food preparations:,2104.2
Put up for retail sale as food suitable for infants or for dietetic purposes,2104.20.10.00
Put up for retail sale as food suitable for young children,2104.20.50.00
"Ice cream and other edible ice, whether or not containing cocoa:",2105
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,2105.00.05.00
Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions,2105.00.10.00
Other,2105.00.20.00
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,2105.00.25.00
Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions,2105.00.30.00
Other,2105.00.40.00
Other,2105.00.50.00
Food preparations not elsewhere specified or included:,2106
Protein concentrates and textured protein substances,2106.10.00.00
Other:,2106.9
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,2106.90.03.00
Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions,2106.90.06.00
Other,2106.90.09.00
Containing not over 20 percent of alcohol by weight,2106.90.12.00
Containing over 20 percent but not over 50 percent of alcohol by weight,2106.90.15.00
Containing over 50 percent of alcohol by weight,2106.90.18.00
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,2106.90.22.00
Described in additional U.S. note 14 to chapter 4 and entered pursuant to its provisions,2106.90.24.00
Other,2106.90.26.00
Other,2106.90.28.00
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,2106.90.32.00
Described in additional U.S. note 14 to chapter 4 and entered pursuant to its provisions,2106.90.34.00
Other,2106.90.36.00
Other,2106.90.38.00
Artificially sweetened cough drops,2106.90.39.00
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,2106.90.42.00
Described in additional U.S. note 5 to chapter 17 andentered pursuant to its provisions,2106.90.44.00
Other,2106.90.46.00
Orange juice,2106.90.48.00
Juice of any single fruit or vegetable,2106.90.52.00
Mixtures of juices,2106.90.54.00
Of gelatin,2106.90.58
Containing sugar derived from sugar cane or sugar beets,2106.90.58.30
Other,2106.90.58.50
Containing sugar derived from sugar cane or sugar beets,2106.90.58.70
Other,2106.90.58.90
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,2106.90.62.00
Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions,2106.90.64.00
Other,2106.90.66.00
Described in additional U.S. note 9 to chapter 17 and entered pursuant to its provisions,2106.90.68.00
Other,2106.90.72.00
Described in additional U.S. note 7 to chapter 17 and entered pursuant to its provisions,2106.90.74.00
Other,2106.90.76.00
Described in additional U.S. note 8 to chapter 17 and entered pursuant to its provisions,2106.90.78.00
Other,2106.90.80.00
Other,2106.90.82.00
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,2106.90.83.00
Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions,2106.90.85.00
Other,2106.90.87.00
Described in additional U.S. note 9 to chapter 17 and entered pursuant to its provisions,2106.90.89.00
Other,2106.90.91.00
Described in additional U.S. note 7 to chapter 17 and entered pursuant to its provisions,2106.90.92.00
Other,2106.90.94.00
Described in additional U.S. note 8 to chapter 17 and entered pursuant to its provisions,2106.90.95.00
Other,2106.90.97.00
Other,2106.90.99
"Containing high-intensity sweeteners (e.g., aspartame and/or saccharin",2106.90.99.71
Containing sugar derived from sugar cane and/or sugar beets,2106.90.99.72
Other,2106.90.99.73
Non-dairy coffee whiteners,2106.90.99.75
Other cream or milk substitutes,2106.90.99.80
"Confectionery (including gum) containing synthetic sweetening agents (e.g., saccharin) instead of sugar",2106.90.99.85
Herbal teas and herbal infusions comprising mixed herbs,2106.90.99.87
Flavored honey,2106.90.99.88
Canned,2106.90.99.90
Frozen,2106.90.99.95
Containing sugar derived from sugar cane and/or sugar beets,2106.90.99.97
Other,2106.90.99.98
"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavored; ice and snow:",2201
Mineral waters and aerated waters,2201.10.00.00
Other,2201.90.00.00
"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavored, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 2009:",2202
"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavored",2202.10.00
"Containing high-intensity sweeteners (e.g., aspartame and/or saccharin)",2202.10.00.20
In aluminum containers,2202.10.00.45
Other,2202.10.00.55
In aluminum containers,2202.10.00.65
Other,2202.10.00.75
Non-alcoholic beer,2202.91.00
In aluminum containers,2202.91.00.10
Other,2202.91.00.20
Other:,2202.99
Chocolate milk drink,2202.99.10.00
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,2202.99.22.00
Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions,2202.99.24.00
Other,2202.99.28.00
Not made from a juice having a degree of concentration of 1.5 or more (as determined before correction to the nearest 0.5 degree),2202.99.30.00
Other,2202.99.35.00
Juice of any single fruit or vegetable,2202.99.36.00
Mixtures of juices,2202.99.37.00
Other,2202.99.91
In aluminum containers,2202.99.91.10
Other,2202.99.91.20
Beer made from malt,2203.00.00
In glass containers,2203.00.00.30
Other,2203.00.00.60
In containers each holding over 4 liters,2203.00.00.90
"Wine of fresh grapes, including fortified wines; grape must other than that of heading 2009:",2204
Sparkling wine,2204.10.00
Valued not over $1.59/liter,2204.10.00.30
Certified organic,2204.10.00.65
Other,2204.10.00.75
In containers holding 2 liters or less:,2204.21
Effervescent wine,2204.21.20.00
"If entitled under regulations of the United States Internal Revenue Service to a type designation which includes the name ""Tokay"" and if so designated on the approved label",2204.21.30.00
Other,2204.21.50
Red,2204.21.50.05
White,2204.21.50.15
Other,2204.21.50.25
Icewine,2204.21.50.28
Certified organic,2204.21.50.35
Not certified organic,2204.21.50.40
Certified organic,2204.21.50.50
Not certified organic,2204.21.50.55
Other,2204.21.50.60
"If entitled under regulations of the United States Internal Revenue Service to a type designation which includes the name ""Marsala"" and if so designated on the approved label",2204.21.60.00
Other,2204.21.80
Sherry,2204.21.80.30
Other,2204.21.80.60
In containers holding more than 2 liters but not more than 10 liters:,2204.22
Of an alcoholic strength by volume not over 14 percent vol,2204.22.20
Red,2204.22.20.05
White,2204.22.20.15
Other,2204.22.20.25
Red,2204.22.20.30
White,2204.22.20.45
Other,2204.22.20.60
Of an alcoholic strength by volume over 14 percent vol,2204.22.40.00
Of an alcoholic strength by volume not over 14 percent vol.,2204.22.60.00
Of an alcoholic strength by volume over 14 percent vol,2204.22.80.00
Other:,2204.29
Of an alcoholic strength by volume not over 14 percent vol.,2204.29.61.00
Of an alcoholic strength by volume over 14 percent vol,2204.29.81.00
Other grape must,2204.30.00.00
Vermouth and other wine of fresh grapes flavored with plants or aromatic substances:,2205
In containers holding 2 liters or less:,2205.1
Vermouth,2205.10.30.00
Other,2205.10.60.00
Other:,2205.9
In containers each holding over 2 liters but not over 4 liters,2205.90.20.00
In containers each holding over 4 liters,2205.90.40.00
Other,2205.90.60.00
"Other fermented beverages (for example, cider, perry, mead, sakè); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included:",2206
"Cider, whether still or sparkling",2206.00.15
Hard cider as described in statistical note 3 to this chapter,2206.00.15.10
Other,2206.00.15.20
Prune wine,2206.00.30.00
Rice wine or sakè,2206.00.45.00
Effervescent wine,2206.00.60.00
Other,2206.00.90
In aluminum containers,2206.00.90.15
Other,2206.00.90.25
In aluminum containers,2206.00.90.30
Other,2206.00.90.40
"Undenatured ethyl alcohol of an alcoholic strength by volume of 80 percent vol. or higher; ethyl alcohol and other spirits, denatured, of any strength:",2207
Undenatured ethyl alcohol of an alcoholic strength by volume of 80 percent vol. or higher:,2207.1
For beverage purposes,2207.10.30.00
For nonbeverage purposes,2207.10.60
For fuel use,2207.10.60.10
Other,2207.10.60.90
"Ethyl alcohol and other spirits, denatured, of any strength",2207.20.00
For fuel use,2207.20.00.10
Other,2207.20.00.90
"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 percent vol.; spirits, liqueurs and other spirituous beverages:",2208
Spirits obtained by distilling grape wine or grape marc (grape brandy):,2208.2
Pisco and singani,2208.20.10.00
Valued not over $2.38/liter,2208.20.20.00
Valued over $2.38 but not over $3.43/liter,2208.20.30.00
Valued over $3.43/liter,2208.20.40.00
Valued not over $2.38/liter,2208.20.50.00
Valued over $2.38/liter,2208.20.60.00
Whiskies:,2208.3
Irish and Scotch,2208.30.30
In containers each holding not over 4 liters,2208.30.30.30
In containers each holding over 4 liters,2208.30.30.60
Other,2208.30.60
In containers each holding not over 4 liters,2208.30.60.20
In containers each holding over 4 liters,2208.30.60.40
Rye,2208.30.60.55
Other,2208.30.60.65
Rye,2208.30.60.75
Other,2208.30.60.85
Rum and other spirits obtained by distilling fermented sugar-cane products:,2208.4
Valued not over $3 per proof liter,2208.40.20.00
Valued over $3 per proof liter,2208.40.40.00
Valued not over 69¢ per proof liter,2208.40.60.00
Valued over 69¢ per proof liter,2208.40.80.00
Gin and Geneve,2208.50.00
In containers each holding not over 4 liters,2208.50.00.30
In containers each holding over 4 liters,2208.50.00.60
Vodka:,2208.6
Valued not over $2.05/liter,2208.60.10.00
Valued over $2.05/liter,2208.60.20.00
In containers each holding over 4 liters,2208.60.50.00
Liqueurs and cordials,2208.70.00
In containers each holding not over 4 liters,2208.70.00.30
In containers each holding over 4 liters,2208.70.00.60
Other:,2208.9
Aquavit,2208.90.01.00
Not fit for use as beverages,2208.90.05.00
Fit for use as beverages,2208.90.10.00
In containers each holding not over 4 liters,2208.90.12.00
In containers each holding over 4 liters,2208.90.14.00
Valued over $3.43/liter,2208.90.15.00
Valued not over $2.38/liter,2208.90.20.00
Valued over $2.38 but not over $3.43/liter,2208.90.25.00
Valued over $3.43/liter,2208.90.30.00
Valued not over $2.38/liter,2208.90.35.00
Valued over $2.38/liter,2208.90.40.00
Kirschwasser and ratafia,2208.90.46
In containers each holding not over 4 liters,2208.90.46.30
In containers each holding over 4 liters,2208.90.46.60
In containers each holding not over 4 liters,2208.90.50.00
In containers each holding over 4 liters,2208.90.55.00
Imitations of brandy and other spirituous beverages,2208.90.71.00
Mezcal in containers each holding not over 4 liters,2208.90.72.00
Other,2208.90.75.00
Other,2208.90.80
"Premixed cocktails or other mixed beverages, ready to consume as packaged, in containers each holding not over 4 liters",2208.90.80.10
Other,2208.90.80.20
Vinegar and substitutes for vinegar obtained from acetic acid,2209.00.00.00
"Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption; greaves (cracklings):",2301
"Flours, meals and pellets, of meat or meat offal; greaves (cracklings)",2301.10.00.00
"Flours, meals and pellets, of fish or of crustaceans, molluscs or other aquatic invertebrates",2301.20.00
Herring meal; pilchard meal,2301.20.00.10
Other,2301.20.00.90
"Bran, sharps (middlings) and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants:",2302
Of corn (maize),2302.10.00.00
Of wheat,2302.30.00
"Bran, shorts and middlings",2302.30.00.10
Other,2302.30.00.90
Of other cereals,2302.40.01
Of rice,2302.40.01.05
"Of other single cereal grains, chopped, crushed or ground",2302.40.01.10
Pelletized screenings (clearings),2302.40.01.20
Other,2302.40.01.90
Of leguminous plants,2302.50.00.00
"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets:",2303
Residues of starch manufacture and similar residues,2303.10.00
Corn gluten feed,2303.10.00.10
Corn gluten meal,2303.10.00.20
Other,2303.10.00.40
"Beet-pulp, bagasse and other waste of sugar manufacture",2303.20.00
Dried beet-pulp,2303.20.00.20
Other,2303.20.00.40
Brewing or distilling dregs and waste,2303.30.00.00
"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soybean oil",2304.00.00
Certified organic,2304.00.00.10
Other,2304.00.00.90
"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of peanut (ground-nut) oil",2305.00.00.00
"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading 2304 or 2305:",2306
Of cotton seeds,2306.10.00.00
Of linseed,2306.20.00.00
Of sunflower seeds,2306.30.00.00
Of low euricic acid rape or colza seeds,2306.41.00.00
Other,2306.49.00.00
Of coconut or copra,2306.50.00.00
Of palm nuts or kernels,2306.60.00.00
Other,2306.90.01
Of corn,2306.90.01.20
Of hemp seeds,2306.90.01.30
Other,2306.90.01.50
Wine lees; argol,2307.00.00.00
"Vegetable materials and vegetable waste, vegetable residues and byproducts, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included:",2308
Acorns and horse-chestnuts,2308.00.10.00
"Screenings, scalpings, chaff or scourings, ground, or not ground, of flaxseed (linseed)",2308.00.93.00
Dehydrated marigolds,2308.00.95.00
Other,2308.00.98
Citrus pulp pellets,2308.00.98.20
Other,2308.00.98.90
Preparations of a kind used in animal feeding:,2309
"Dog or cat food, put up for retail sale",2309.10.00
In airtight containers,2309.10.00.10
Other,2309.10.00.90
Other:,2309.9
Mixed feeds or mixed feed ingredients,2309.90.10
Bird seed,2309.90.10.05
"Other pet food, put up for retail sale",2309.90.10.15
"Poultry feeds, prepared",2309.90.10.20
"Dairy cattle feed, prepared",2309.90.10.30
"Other cattle feed, prepared",2309.90.10.32
"Swine feed, prepared",2309.90.10.35
"Other livestock feed, prepared",2309.90.10.45
Other,2309.90.10.50
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,2309.90.22
Milk replacer,2309.90.22.10
Other,2309.90.22.90
Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions,2309.90.24
Milk replacer,2309.90.24.10
Other,2309.90.24.90
Other,2309.90.28
Milk replacer,2309.90.28.10
Other,2309.90.28.90
Described in general note 15 of the tariff schedule and entered pursuant to its provisions,2309.90.42
Milk replacer,2309.90.42.10
Other,2309.90.42.90
Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions,2309.90.44
Milk replacer,2309.90.44.10
Other,2309.90.44.90
Other,2309.90.48
Milk replacer,2309.90.48.10
Other,2309.90.48.90
Animal feeds containing egg,2309.90.60.00
"Preparations, with a basis of vitamin B<sub>12</sub>, for supplementing animal feed",2309.90.70.00
Other,2309.90.95.00
Unmanufactured tobacco (whether or not threshed or similarly processed); tobacco refuse:,2401
"Tobacco, not stemmed/stripped:",2401.1
Wrapper tobacco,2401.10.21
Connecticut shade,2401.10.21.20
Other,2401.10.21.40
Other,2401.10.29
Connecticut shade,2401.10.29.20
Other,2401.10.29.40
Cigarette leaf,2401.10.44.00
Other,2401.10.48.00
Cigar binder and filler,2401.10.53
Binder,2401.10.53.40
Filler,2401.10.53.50
To be used in products other than cigarettes,2401.10.61
Flue-cured,2401.10.61.30
Burley,2401.10.61.60
Maryland,2401.10.61.80
Other,2401.10.61.90
Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions,2401.10.63
Flue-cured,2401.10.63.30
Burley,2401.10.63.60
Maryland,2401.10.63.80
Other,2401.10.63.90
Other,2401.10.65
Flue-cured,2401.10.65.30
Burley,2401.10.65.60
Maryland,2401.10.65.80
Other,2401.10.65.90
Other,2401.10.95
Fire-cured Kentucky and Tennessee,2401.10.95.10
Dark-air cured Kentucky and Tennessee,2401.10.95.15
Virginia fire-cured,2401.10.95.20
Virginia sun-cured,2401.10.95.25
Blackfat,2401.10.95.30
Other,2401.10.95.60
"Tobacco, partly or wholly stemmed/stripped:",2401.2
"Leaf tobacco, the product of two or more countries or dependencies, when mixed or packed together",2401.20.05.00
Wrapper tobacco,2401.20.14
Connecticut shade,2401.20.14.20
Other,2401.20.14.40
Other,2401.20.18.00
Cigarette leaf,2401.20.23.00
Other,2401.20.26.00
Cigar binder and filler,2401.20.29
Binder,2401.20.29.70
Filler,2401.20.29.90
To be used in products other than cigarettes,2401.20.31
Flue-cured,2401.20.31.10
Burley,2401.20.31.20
Maryland,2401.20.31.30
Other,2401.20.31.40
Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions,2401.20.33
Flue-cured,2401.20.33.10
Burley,2401.20.33.20
Maryland,2401.20.33.30
Other,2401.20.33.40
Other,2401.20.35
Flue-cured,2401.20.35.10
Burley,2401.20.35.20
Maryland,2401.20.35.30
Other,2401.20.35.40
Other,2401.20.57
Fire-cured Kentucky and Tennessee,2401.20.57.10
Dark-air cured Kentucky and Tennessee,2401.20.57.15
Virginia fire-cured,2401.20.57.20
Virginia sun-cured,2401.20.57.25
Blackfat,2401.20.57.30
Other,2401.20.57.40
From cigar leaf,2401.20.60
Connecticut shade,2401.20.60.20
Other,2401.20.60.40
Oriental or Turkish type,2401.20.75.00
To be used in products other than cigarettes,2401.20.83
Flue-cured,2401.20.83.10
Burley,2401.20.83.20
Maryland,2401.20.83.30
Fire-cured Kentucky and Tennessee,2401.20.83.35
Dark-air cured Kentucky and Tennessee,2401.20.83.40
Virginia fire-cured,2401.20.83.50
Virginia sun-cured,2401.20.83.55
Blackfat,2401.20.83.60
Other,2401.20.83.90
Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions,2401.20.85
Flue-cured,2401.20.85.10
Burley,2401.20.85.20
Maryland,2401.20.85.30
Fire-cured Kentucky and Tennessee,2401.20.85.35
Dark-air cured Kentucky and Tennessee,2401.20.85.40
Virginia fire-cured,2401.20.85.50
Virginia sun-cured,2401.20.85.55
Blackfat,2401.20.85.60
Other,2401.20.85.90
Other,2401.20.87
Flue-cured,2401.20.87.10
Burley,2401.20.87.20
Maryland,2401.20.87.30
Fire-cured Kentucky and Tennessee,2401.20.87.35
Dark-air cured Kentucky and Tennessee,2401.20.87.40
Virginia fire-cured,2401.20.87.50
Virginia sun-cured,2401.20.87.55
Blackfat,2401.20.87.60
Other,2401.20.87.90
Tobacco refuse:,2401.3
"Not cut, not ground and not pulverized",2401.30.03.00
"Cut, ground or pulverized",2401.30.06.00
Other,2401.30.09.00
"Not cut, not ground and not pulverized",2401.30.13.00
"Cut, ground or pulverized",2401.30.16.00
Other,2401.30.19.00
"Not cut, not ground and not pulverized",2401.30.23
Flue-cured,2401.30.23.10
Burley,2401.30.23.20
Fire-cured Kentucky and Tennessee,2401.30.23.35
Dark air-cured Kentucky and Tennessee,2401.30.23.40
Virginia fire-cured,2401.30.23.50
Virginia sun-cured,2401.30.23.60
Other,2401.30.23.90
"Cut, ground or pulverized",2401.30.25
Flue-cured,2401.30.25.10
Burley,2401.30.25.20
Fire-cured Kentucky and Tennessee,2401.30.25.35
Dark air-cured Kentucky and Tennessee,2401.30.25.40
Virginia fire-cured,2401.30.25.50
Virginia sun-cured,2401.30.25.60
Other,2401.30.25.90
Other,2401.30.27
Flue-cured,2401.30.27.10
Burley,2401.30.27.20
Fire-cured Kentucky and Tennessee,2401.30.27.35
Dark air-cured Kentucky and Tennessee,2401.30.27.40
Virginia fire-cured,2401.30.27.50
Virginia sun-cured,2401.30.27.60
Other,2401.30.27.90
"Not cut, not ground and not pulverized",2401.30.33
Flue-cured,2401.30.33.10
Burley,2401.30.33.20
Fire-cured Kentucky and Tennessee,2401.30.33.35
Dark air-cured Kentucky and Tennessee,2401.30.33.40
Virginia fire-cured,2401.30.33.50
Virginia sun-cured,2401.30.33.60
Other,2401.30.33.90
"Cut, ground or pulverized",2401.30.35
Flue-cured,2401.30.35.10
Burley,2401.30.35.20
Fire-cured Kentucky and Tennessee,2401.30.35.35
Dark air-cured Kentucky and Tennessee,2401.30.35.40
Virginia fire-cured,2401.30.35.50
Virginia sun-cured,2401.30.35.60
Other,2401.30.35.90
Other,2401.30.37
Flue-cured,2401.30.37.10
Burley,2401.30.37.20
Fire-cured Kentucky and Tennessee,2401.30.37.35
Dark air-cured Kentucky and Tennessee,2401.30.37.40
Virginia fire-cured,2401.30.37.50
Virginia sun-cured,2401.30.37.60
Other,2401.30.37.90
Other,2401.30.70
Flue-cured,2401.30.70.10
Burley,2401.30.70.20
Fire-cured Kentucky and Tennessee,2401.30.70.35
Dark air-cured Kentucky and Tennessee,2401.30.70.40
Virginia fire-cured,2401.30.70.50
Virginia sun-cured,2401.30.70.60
Other,2401.30.70.90
"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of tobacco substitutes:",2402
"Cigars, cheroots and cigarillos, containing tobacco:",2402.1
Each valued less than 15¢,2402.10.30
"Small cigars, cheroots and cigarillos (weighing not more than 1.36 kg/1000)",2402.10.30.30
Other,2402.10.30.70
Each valued 15¢ or over but less than 23¢,2402.10.60.00
Each valued 23¢ or over,2402.10.80
"Small cigars, cheroots and cigarillos (weighing not more than 1.36 kg/1000)",2402.10.80.30
"Other, each valued 23¢ or more but not more than 76¢",2402.10.80.50
Other,2402.10.80.80
Cigarettes containing tobacco:,2402.2
Containing clove,2402.20.10.00
Paper-wrapped,2402.20.80.00
Other,2402.20.90.00
Other,2402.90.00.00
"Other manufactured tobacco and manufactured tobacco substitutes; ""homogenized"" or ""reconstituted"" tobacco; tobacco extracts and essences:",2403
"Water pipe tobacco, specified in subheading note 1 to this chapter",2403.11.00.00
Other:,2403.19
Prepared for marketing to the ultimate consumer in the identical form and package in which imported,2403.19.20
Pipe tobacco,2403.19.20.20
Roll-your-own tobacco for making cigarettes,2403.19.20.50
Other,2403.19.20.80
To be used in products other than cigarettes,2403.19.30
Flue-cured,2403.19.30.50
Burley,2403.19.30.60
Maryland,2403.19.30.80
Other,2403.19.30.90
Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions,2403.19.60
Flue-cured,2403.19.60.50
Burley,2403.19.60.60
Maryland,2403.19.60.80
Other,2403.19.60.90
Other,2403.19.90
Flue-cured,2403.19.90.50
Burley,2403.19.90.60
Maryland,2403.19.90.80
Other,2403.19.90.90
"""Homogenized"" or ""reconstituted"" tobacco:",2403.91
Suitable for use as wrapper tobacco,2403.91.20.00
To be used in products other than cigarettes,2403.91.43
Flue-cured,2403.91.43.50
Burley,2403.91.43.60
Maryland,2403.91.43.80
Other,2403.91.43.90
Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions,2403.91.45
Flue-cured,2403.91.45.50
Burley,2403.91.45.60
Maryland,2403.91.45.80
Other,2403.91.45.90
Other,2403.91.47
Flue-cured,2403.91.47.50
Burley,2403.91.47.60
Maryland,2403.91.47.80
Other,2403.91.47.90
Other:,2403.99
Prepared for marketing to the ultimate consumer in the identical form and package in which imported,2403.99.21
Chewing tobacco,2403.99.21.30
Snuff and snuff flours of a kind described in statistical note 1 to this chapter,2403.99.21.40
Other,2403.99.21.90
To be used in products other than cigarettes,2403.99.31
Flue-cured,2403.99.31.50
Burley,2403.99.31.60
"Partially manufactured, blended or mixed tobacco",2403.99.31.65
Other,2403.99.31.70
Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions,2403.99.60
Flue-cured,2403.99.60.50
Burley,2403.99.60.60
"Partially manufactured, blended or mixed tobacco",2403.99.60.65
Other,2403.99.60.70
Other,2403.99.90
Flue-cured,2403.99.90.50
Burley,2403.99.90.60
"Partially manufactured, blended or mixed tobacco",2403.99.90.65
Other,2403.99.90.70
"Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body:",2404
Containing tobacco or reconstituted tobacco,2404.11.00.00
"Other, containing nicotine:",2404.12
Mixtures containing 5 percent or more by weight of one or more aromatic or modified aromatic substances,2404.12.05.00
Other,2404.12.10.00
Other,2404.12.90.00
Other:,2404.19
Mixtures containing 5 percent or more by weight of one or more aromatic or modified aromatic substances,2404.19.05.00
Other,2404.19.10.00
Other,2404.19.90.00
For oral application,2404.91.00.00
For transdermal application,2404.92.00.00
Other,2404.99.00.00
"Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water",2501.00.00.00
Unroasted iron pyrites,2502.00.00.00
"Sulfur of all kinds, other than sublimed sulfur, precipitated sulfur and colloidal sulfur",2503.00.00
Crude or unrefined sulfur,2503.00.00.10
Other,2503.00.00.90
Natural graphite:,2504
In powder or in flakes:,2504.1
Crystalline flake (not including flake dust),2504.10.10.00
Other,2504.10.50.00
Other,2504.90.00.00
"Natural sands of all kinds, whether or not colored, other than metalbearing sands of chapter 26:",2505
Silica sands and quartz sands:,2505.1
Sand containing by weight 95 percent or more of silica and not more than 0.6 percent of oxide of iron,2505.10.10.00
Other,2505.10.50.00
Other,2505.90.00.00
"Quartz (other than natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:",2506
Quartz,2506.10.00
Sands (other than natural) containing by weight 95 percent or more of silica and not more than 0.6 percent of oxide of iron,2506.10.00.10
Other,2506.10.00.50
Quartzite,2506.20.00
Crude or roughly trimmed,2506.20.00.10
Other,2506.20.00.80
"Kaolin and other kaolinic clays, whether or not calcined",2507.00.00.00
"Other clays (not including expanded clays of heading 6806), andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths:",2508
Bentonite,2508.10.00.00
Fire-clay,2508.30.00.00
Other clays,2508.40.01
Common blue clay and other ball clays,2508.40.01.10
Decolorizing earths and fuller's earth,2508.40.01.20
Other,2508.40.01.50
"Andalusite, kyanite and sillimanite",2508.50.00.00
Mullite,2508.60.00.00
Chamotte or dinas earth,2508.70.00.00
Chalk:,2509
Crude,2509.00.10.00
Other,2509.00.20.00
"Natural calcium phosphates, natural aluminum calcium phosphates and phosphatic chalk:",2510
Unground,2510.10.00.00
Ground,2510.20.00.00
"Natural barium sulfate (barytes); natural barium carbonate (witherite), whether or not calcined, other than barium oxide of heading 2816:",2511
Natural barium sulfate (barytes):,2511.1
Ground,2511.10.10.00
Other,2511.10.50.00
Natural barium carbonate (witherite),2511.20.00.00
"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less",2512.00.00.00
"Pumice; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated:",2513
Pumice stone,2513.10.00
"Crude or in irregular pieces, including crushed pumice",2513.10.00.10
Other,2513.10.00.80
"Emery, natural corundum, natural garnet and other natural abrasives:",2513.2
Crude or in irregular pieces,2513.20.10.00
Other,2513.20.90.00
"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",2514.00.00.00
"Marble, travertine and other calcareous monumental or building stone of an apparent specific gravity of 2.5 or more, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:",2515
Crude or roughly trimmed,2515.11.00.00
"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:",2515.12
Marble,2515.12.10.00
Travertine,2515.12.20.00
Other calcareous monumental or building stone; alabaster,2515.20.00.00
"Granite, porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:",2516
Crude or roughly trimmed,2516.11.00.00
"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",2516.12.00
Having a thickness of 7.5 cm or more,2516.12.00.30
Other,2516.12.00.60
Sandstone:,2516.2
Crude or roughly trimmed,2516.20.10.00
"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",2516.20.20.00
Other monumental or building stone,2516.90.00
Having a thickness of 7.5 cm or more,2516.90.00.30
Other,2516.90.00.60
